Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
Homo Naledi,0.40355687,Africa,south,South Africa,jungle,493.59374,137.57692,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
hominino Ardipithecus ramidus / kabadda,4.66013998,Africa,oriental,Ethiopia,mixed,251.25988,118.22218,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
hominino Sahelanthropus tchadensis,6.96291603,Africa,central,Republic of Chad,mixed,166.84888,95.56379,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Naledi,0.62061197,Africa,south,South Africa,jungle,461.21535,134.58232,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Erectus,1.6836969,Asia ,west,Indonesia,savannah,908.03994,169.71112,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Sapiens,0.01668169,Africa,oriental,Kenya,savannah,1150.64557,174.57885,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Sapiens,0.99807714,Africa,oriental,Kenya,savannah,1224.46651,178.65972,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Paranthropus Aethiopicus,2.93830377,Africa,oriental,Kenya,forest-savanna,557.54739,114.72689,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Antecesor,1.09675538,Europa,west,Spain,savannah,1132.18206,176.34481,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Paranthropus Robustus,1.72752971,Africa,south,South Africa,jungle,489.68728,124.61519,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rudolfensis,2.48333191,Africa,oriental,Kenya,savannah,765.32611,135.79435,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
hominino Ardipithecus ramidus / kabadda,3.91102446,Africa,oriental,Ethiopia,mixed,413.46179,103.64038,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Garhi,2.48021282,Africa,oriental,Ethiopia,mixed,462.38352,114.1978,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Floresiensis,0.91026831,Asia ,oriental,Indonesia,peninsular,446.91213,103.4077,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
hominino Ardipithecus ramidus / kabadda,4.30244161,Africa,oriental,Ethiopia,mixed,192.67747,115.33959,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Afarensis,3.82980669,Africa,oriental,Kenya,mixed,204.91597,129.73253,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Heidelbergensis,0.96761882,Europa,central,Germany,cold forest,1254.85011,168.20628,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Ardipithecus ramidus / kabadda,4.28945985,Africa,oriental,Ethiopia,mixed,155.71422,116.96424,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Africanus,4.03057477,Africa,south,South Africa,forest-gallery,609.25298,108.9692,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Australopithecus Anamensis,4.83047843,Africa,oriental,Kenya,forest-gallery,329.63274,110.0047,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Habilis,2.28291762,Africa,oriental,Ethiopia,savannah,888.9793,138.86344,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Naledi,0.12877441,Africa,south,South Africa,jungle,270.61087,123.90687,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Sediba,2.5516363,Africa,south,South Africa,mixed,494.10783,118.54423,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Habilis,2.56000952,Africa,oriental,Ethiopia,savannah,739.85133,130.26533,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Australopithecus Africanus,3.74309314,Africa,south,South Africa,forest-gallery,592.03031,105.62342,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Floresiensis,0.3699109,Asia ,oriental,Indonesia,peninsular,230.79843,100.47686,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Habilis,2.7444161,Africa,oriental,Ethiopia,savannah,862.73214,125.69727,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Australopithecus Afarensis,4.52837569,Africa,oriental,Kenya,mixed,451.78509,134.12468,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Paranthropus Robustus,1.96278246,Africa,south,South Africa,jungle,514.91438,123.75413,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Naledi,0.58937748,Africa,south,South Africa,jungle,220.22338,132.22285,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Antecesor,0.98742086,Europa,west,Spain,savannah,1008.18277,175.61819,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Antecesor,0.88062039,Europa,west,Spain,savannah,1005.82402,174.59375,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Paranthropus Boisei,2.12718974,Africa,oriental,Ethiopia,forest,350.06361,107.22646,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Orrorin tugenencin,6.43137438,Africa,oriental,Kenya,forest,39.97655,128.90635,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Bahrelghazali,4.03315443,Africa,central,Republic of Chad,mixed,181.58318,112.65201,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
"Homo Neanderthalensis
",0.54194395,Europa,central,Germany,cold forest,1235.55779,155.39842,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Antecesor,1.65988843,Europa,west,Spain,savannah,897.121,179.09304,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Paranthropus Aethiopicus,2.74002323,Africa,oriental,Kenya,forest-savanna,315.62689,109.49256,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Sahelanthropus tchadensis,7.58691385,Africa,central,Republic of Chad,mixed,173.98606,96.30286,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Afarensis,4.50845234,Africa,oriental,Kenya,mixed,430.23035,124.94466,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Rudolfensis,2.38427284,Africa,oriental,Kenya,savannah,579.09797,127.92338,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
hominino Sahelanthropus tchadensis,7.08596514,Africa,central,Republic of Chad,mixed,249.19875,80.20243,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Bahrelghazali,3.22119364,Africa,central,Republic of Chad,mixed,326.72158,127.8695,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
hominino Sahelanthropus tchadensis,7.28064243,Africa,central,Republic of Chad,mixed,45.60829,97.60147,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Rodhesiensis,1.09693904,Africa,oriental,Ethiopia,savannah,1052.96388,159.12483,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Paranthropus Aethiopicus,2.83344062,Africa,oriental,Kenya,forest-savanna,573.31059,114.25368,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Erectus,1.11358869,Asia ,west,Indonesia,savannah,1092.00228,152.71743,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Anamensis,4.34830225,Africa,oriental,Kenya,forest-gallery,477.14581,119.76066,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Rudolfensis,2.42759959,Africa,oriental,Kenya,savannah,830.08723,121.93263,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Naledi,0.86674557,Africa,south,South Africa,jungle,261.79994,126.72562,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
hominino Orrorin tugenencin,5.84720574,Africa,oriental,Kenya,forest,270.81076,124.03854,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Sapiens,0.58191933,Africa,oriental,Kenya,savannah,1198.16979,179.99385,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Afarensis,4.41388015,Africa,oriental,Kenya,mixed,393.97692,139.08091,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Sapiens,0.93142781,Africa,oriental,Kenya,savannah,1264.27625,171.39449,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Heidelbergensis,0.73850208,Europa,central,Germany,cold forest,1328.86904,165.00383,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Garhi,2.20400733,Africa,oriental,Ethiopia,mixed,341.00858,111.96984,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Ergaster,1.50449857,Africa,oriental,Kenya,savannah,906.37293,165.2784,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Erectus,1.46349942,Asia ,west,Indonesia,savannah,1065.79771,161.43974,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Ergaster,1.88734369,Africa,oriental,Kenya,savannah,777.50901,168.37001,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Anamensis,4.04845469,Africa,oriental,Kenya,forest-gallery,317.25139,124.9949,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Ergaster,1.40148107,Africa,oriental,Kenya,savannah,809.43045,150.50101,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Naledi,0.10520735,Africa,south,South Africa,jungle,231.96815,139.87847,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Garhi,2.52927369,Africa,oriental,Ethiopia,mixed,413.24988,124.41893,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Erectus,1.80306339,Asia ,west,Indonesia,savannah,1029.33077,153.57502,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,1.84329698,Africa,south,South Africa,jungle,585.60097,123.06256,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Aethiopicus,3.21211302,Africa,oriental,Kenya,forest-savanna,328.15971,109.43101,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Aethiopicus,3.25441456,Africa,oriental,Kenya,forest-savanna,397.06643,114.23966,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
"Homo Neanderthalensis
",0.92271334,Europa,central,Germany,cold forest,1015.669,151.27455,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Heidelbergensis,1.1888,Europa,central,Germany,cold forest,1222.69742,180.91116,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Ardipithecus ramidus / kabadda,4.65163133,Africa,oriental,Ethiopia,mixed,316.56012,106.82804,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
hominino Sahelanthropus tchadensis,7.57043468,Africa,central,Republic of Chad,mixed,184.15923,86.02696,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Antecesor,1.14761537,Europa,west,Spain,savannah,938.21819,172.41253,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Australopithecus Garhi,2.95782281,Africa,oriental,Ethiopia,mixed,250.88817,119.80606,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Rudolfensis,2.25051384,Africa,oriental,Kenya,savannah,687.06626,130.09509,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Naledi,0.33334594,Africa,south,South Africa,jungle,208.43134,138.51321,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
"Homo Neanderthalensis
",0.28823514,Europa,central,Germany,cold forest,1202.37029,165.27112,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Naledi,0.53836052,Africa,south,South Africa,jungle,213.50736,130.51151,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
hominino Sahelanthropus tchadensis,7.4365325,Africa,central,Republic of Chad,mixed,15.50153,85.40504,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4.44281319,Africa,oriental,Ethiopia,mixed,173.20111,104.01103,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Afarensis,3.78279045,Africa,oriental,Kenya,mixed,276.33347,126.22606,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Paranthropus Robustus,2.13980781,Africa,south,South Africa,jungle,504.17655,119.38676,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,1.83692006,Africa,south,South Africa,jungle,366.55353,110.85169,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Ergaster,2.14894184,Africa,oriental,Kenya,savannah,942.35899,168.05328,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Africanus,3.97544509,Africa,south,South Africa,forest-gallery,617.1724,111.34135,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Australopithecus Garhi,2.25132607,Africa,oriental,Ethiopia,mixed,311.2444,128.64852,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Naledi,0.4486394,Africa,south,South Africa,jungle,414.40075,126.64624,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Habilis,3.18798891,Africa,oriental,Ethiopia,savannah,723.10173,133.06246,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Paranthropus Boisei,2.31000488,Africa,oriental,Ethiopia,forest,528.57762,112.27879,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Erectus,1.71806026,Asia ,west,Indonesia,savannah,1181.57003,155.41686,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Antecesor,0.7735466,Europa,west,Spain,savannah,1051.45468,171.56791,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Rodhesiensis,0.65885934,Africa,oriental,Ethiopia,savannah,1196.88394,147.3091,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Ergaster,2.13502412,Africa,oriental,Kenya,savannah,812.39632,150.65276,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Sapiens,0.28972013,Africa,oriental,Kenya,savannah,1152.58309,171.37505,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Paranthropus Aethiopicus,2.59246358,Africa,oriental,Kenya,forest-savanna,311.90717,119.79694,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,3.82541107,Africa,oriental,Kenya,mixed,252.43707,122.57667,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Heidelbergensis,0.54650301,Europa,central,Germany,cold forest,1198.06446,184.2717,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Anamensis,4.45613444,Africa,oriental,Kenya,forest-gallery,267.54157,121.93263,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Anamensis,4.09428392,Africa,oriental,Kenya,forest-gallery,416.82188,123.35513,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Rodhesiensis,0.41282767,Africa,oriental,Ethiopia,savannah,1075.24519,145.03942,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
hominino Sahelanthropus tchadensis,7.0224453,Africa,central,Republic of Chad,mixed,96.98476,92.17776,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Antecesor,1.63667709,Europa,west,Spain,savannah,1160.65812,175.4411,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Habilis,2.29162883,Africa,oriental,Ethiopia,savannah,798.61567,121.01025,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Naledi,0.87418978,Africa,south,South Africa,jungle,233.15956,136.86006,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Georgicus,1.87445482,Asia ,west,Georgia,savannah,747.43209,146.15475,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Bahrelghazali,3.60252453,Africa,central,Republic of Chad,mixed,424.98979,117.04001,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
"Homo Neanderthalensis
",0.30327205,Europa,central,Germany,cold forest,1000.76617,151.14441,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Afarensis,4.30857308,Africa,oriental,Kenya,mixed,239.75752,134.69641,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Naledi,0.31875783,Africa,south,South Africa,jungle,498.05885,137.96989,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Naledi,0.62666245,Africa,south,South Africa,jungle,339.87287,134.65439,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Rudolfensis,3.01842538,Africa,oriental,Kenya,savannah,834.97462,138.22503,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Anamensis,4.13032695,Africa,oriental,Kenya,forest-gallery,245.96972,119.92562,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Paranthropus Aethiopicus,2.5985799,Africa,oriental,Kenya,forest-savanna,315.66898,106.24047,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rodhesiensis,1.25250604,Africa,oriental,Ethiopia,savannah,967.40658,155.19446,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Anamensis,4.3182102,Africa,oriental,Kenya,forest-gallery,342.4613,128.55788,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Floresiensis,0.91164408,Asia ,oriental,Indonesia,peninsular,325.77892,108.65342,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
"Homo Neanderthalensis
",0.02234427,Europa,central,Germany,cold forest,1002.32614,150.36433,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Antecesor,1.11722329,Europa,west,Spain,savannah,943.83298,173.00708,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Australopithecus Bahrelghazali,3.47620413,Africa,central,Republic of Chad,mixed,338.41967,124.77031,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
hominino Orrorin tugenencin,5.75312915,Africa,oriental,Kenya,forest,37.39797,115.34363,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Ergaster,1.84812593,Africa,oriental,Kenya,savannah,933.42033,165.80876,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
